xx--xo-oo [0] [0] [253] [0] [0] [0] [0] [0] [0] 
oxoxxo--- [0] [0] [0] [0] [0] [0] [1] [787] [174] 
oxoxx-o-- [0] [0] [0] [0] [0] [199] [0] [316] [1] 
oxoxx--o- [0] [0] [0] [0] [0] [1] [907] [0] [11] 
oxoxx---o [0] [0] [0] [0] [0] [157] [0] [370] [0] 
oxoxox--- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
oxox-xo-- [0] [0] [0] [0] [10] [0] [0] [0] [0] 
oxox-x-o- [0] [0] [0] [0] [4] [0] [4] [0] [1] 
oxoxo--x- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
oxox-o-x- [0] [0] [0] [0] [7] [0] [10] [0] [1] 
oxox---xo [0] [0] [0] [0] [7] [1] [0] [0] [0] 
ox-xox-o- [0] [0] [1] [0] [0] [0] [0] [0] [6] 
ox-xxo-o- [0] [0] [6764] [0] [0] [0] [8526] [0] [237] 
ox-xxo--o [0] [0] [292] [0] [0] [0] [0] [382] [0] 
ox-x-o-xo [0] [0] [0] [0] [7] [0] [0] [0] [0] 
ox-oxx-o- [0] [0] [0] [0] [0] [0] [13860] [0] [0] 
ox-oxx--o [0] [0] [1] [0] [0] [0] [445] [214] [0] 
ox--xxoo- [0] [0] [0] [619] [0] [0] [0] [0] [0] 
ox--xxo-o [0] [0] [0] [205] [0] [0] [0] [4] [0] 
ox-oox-x- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
ox--oxox- [0] [0] [1] [0] [0] [0] [0] [0] [1] 
-x-oxxoo- [0] [0] [0] [0] [0] [0] [0] [0] [0] 
